unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3543534941274_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,balai-brosse,cat_id_2849.cat,Manche télescopique XXL en aluminium Elephant,"13,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/balai-brosse/cat_id_2849.cat/manche-telescopique-xxl-en-aluminium-elephant/3543534941274_CAFR.prd
5059340474670_CAFR.prd,decoration-interieure,decoration-textile,tapis-et-paillasson,tapis,"Sous-tapis antidérapant GoodHome L.230 x l.160 x ep.1,1 cm blanc","12,90",https://www.castorama.fr/decoration-interieure/decoration-textile/tapis-et-paillasson/tapis/tapis-chambre-enfant/cat_id_0001390.cat/sous-tapis-antiderapant-goodhome-l-230-x-l-160-x-ep-1-1-cm-blanc/5059340474670_CAFR.prd
3543534940369_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,eponge-serpillere-et-accessoire-de-lavage,cat_id_2666.cat,Lot 2 serpillères XXL Éléphant fluo L.100 x l.70 cm,"5,79",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/eponge-serpillere-et-accessoire-de-lavage/cat_id_2666.cat/lot-2-serpilleres-xxl-elephant-fluo-l-100-x-l-70-cm/3543534940369_CAFR.prd
3541212919102_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,seau-bassine-recipient-de-menage,cat_id_4132.cat,Bassine cuvette carrée 5.5L coloris gris charbon,"5,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/seau-bassine-recipient-de-menage/cat_id_4132.cat/bassine-cuvette-carree-5-5l-coloris-gris-charbon/3541212919102_CAFR.prd
3283491500472_CAFR.prd,outillage,compresseur-et-accessoire,accessoire-compresseur,cat_id_0001475.cat,Lance de lavage pneumatique Mecafer,"54,90",https://www.castorama.fr/outillage/compresseur-et-accessoire/accessoire-compresseur/cat_id_0001475.cat/lance-de-lavage-pneumatique-mecafer/3283491500472_CAFR.prd
3663936037112_CAFR.prd,outillage,compresseur-et-accessoire,compresseur,cat_id_0001474.cat,Compresseur d'air à Courroie 200 Litres 4CV 3KW Pression 10 Bar 230V VITO,998,https://www.castorama.fr/outillage/compresseur-et-accessoire/compresseur/cat_id_0001474.cat/mkp/compresseur-d-air-courroie-200-litres-4cv-3kw-pression-10-bar-230v-vito/3663936037112_CAFR.prd
3308188422001_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,cat_id_2879.cat,Genouillère 6 pans pour volet Afbat 7 mm chromé,"18,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/genouillere-6-pans-pour-volet-afbat-7-mm-chrome/3308188422001_CAFR.prd
3342010003983_CAFR.prd,outillage,materiel-de-chantier,outils-du-macon,auge-et-seau,Seau doseur gradué 30L et couvercle Ocai,"9,90",https://www.castorama.fr/outillage/materiel-de-chantier/outils-du-macon/auge-et-seau/cat_id_1667.cat/seau-doseur-gradue-30l-et-couvercle-ocai/3342010003983_CAFR.prd
6411501381507_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,balai-d-exterieur-balai-a-feuille-et-a-gazon,cat_id_3417.cat,Fiskars Balai de cantonnier Myfirst,"22,77",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/balai-d-exterieur-balai-a-feuille-et-a-gazon/cat_id_3417.cat/departments/fiskars-balai-de-cantonnier-myfirst/6411501381507_CAFR.prd
3266720480011_CAFR.prd,jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,jerrican-d-essence-graisse-et-lubrifiant,Seringue de vidange PVC Bardhal pour motoculture,"13,90",https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat/seringue-de-vidange-pvc-bardhal-pour-motoculture/3266720480011_CAFR.prd
